1;Ha gli occhiali?
2;Ha la barba?
3;Ha il cappello?
4;Ha i baffi? (senza barba)
5;Ha il naso grande?
6;Ha le guance rosse?
7;Ha i capelli?
8;Ha i capelli biondi?
9;Ha i capelli castani?
10;Ha i capelli neri?
11;Ha i capelli rossi?
12;Ha i capelli bianchi?
13;Ha gli occhi azzurri?
14;Ha gli occhi marroni?
15;Ha gli occhi verdi?
v;Alex?
v;Alfred?
v;Anita?
v;Anne?
v;Bernard?
v;Bill?
v;Charles?
v;Claire?
v;David?
v;Eric?
v;Frans?
v;George?
v;Herman?
v;Joe?
v;Maria?
v;Max?
v;Paul?
v;Peter?
v;Philip?
v;Richard?
v;Robert?
v;Sam?
v;Susan?
v;Tom?
